filename,title,publisher,published_at,language,doc_type,classification,instruments,is_synthetic
2026-08-11_aramco_2222.pdf,Saudi Aramco: Resilient Cash Generation Against a Softer Oil Backdrop,Meridian Gulf Research,2026-08-11,ar;en,company_note,internal,2222,true
2026-08-14_alrajhi_1120.pdf,Al Rajhi Bank: Record Quarterly Profit as Fee Income Offsets Margin Pressure,Meridian Gulf Research,2026-08-14,ar;en,company_note,internal,1120,true
2026-08-13_snb_1180.pdf,Saudi National Bank: Lower Provisions and Cost Discipline Drive Earnings Growth,Meridian Gulf Research,2026-08-13,ar;en,company_note,internal,1180,true
2026-08-12_riyadbank_1010.pdf,"Riyad Bank: Balance Sheet Growth Solid, Provisioning Weighs on Earnings",Meridian Gulf Research,2026-08-12,ar;en,company_note,internal,1010,true
2026-08-06_sabic_2010.pdf,SABIC: Restructuring Progresses Through a Prolonged Petrochemical Downcycle,Meridian Gulf Research,2026-08-06,ar;en,company_note,internal,2010,true
2026-08-05_saudikayan_2350.pdf,Saudi Kayan: Losses Widen as Accumulated Deficit Approaches Capital Thresholds,Meridian Gulf Research,2026-08-05,ar;en,company_note,internal,2350,true
2026-08-10_stc_7010.pdf,stc group: Digital Infrastructure Investment Underpins Steady Growth,Meridian Gulf Research,2026-08-10,ar;en,company_note,internal,7010,true
2026-08-09_mobily_7020.pdf,Mobily: Earnings Growth Continues as Capital Expenditure Steps Up Sharply,Meridian Gulf Research,2026-08-09,ar;en,company_note,internal,7020,true
2026-08-08_maaden_1211.pdf,Ma'aden: Aluminium Strength Offsets Phosphate Headwinds,Meridian Gulf Research,2026-08-08,ar;en,company_note,internal,1211,true
2026-08-07_sec_5110.pdf,Saudi Electricity: Regulated Asset Growth Against Rising Financing Costs,Meridian Gulf Research,2026-08-07,ar;en,company_note,internal,5110,true
2026-08-04_almarai_2280.pdf,Almarai: Steady Growth With Input Cost and Fuel Reform Pressure,Meridian Gulf Research,2026-08-04,ar;en,company_note,internal,2280,true
2026-08-03_alhabib_4013.pdf,"Dr. Sulaiman Al Habib: Capacity Expansion Drives Revenue, Dilutes Near Term Margin",Meridian Gulf Research,2026-08-03,ar;en,company_note,internal,4013,true
2026-08-18_sector-banking.pdf,Saudi Banking Sector Review: Second Quarter 2026,Meridian Gulf Research,2026-08-18,en,sector_note,internal,1120;1180;1010,true
2026-08-17_sector-petrochemicals.pdf,قطاع البتروكيماويات السعودي: مراجعة أوضاع السوق وإصلاح أسعار اللقيم,Meridian Gulf Research,2026-08-17,ar,sector_note,internal,2010;2350,true
2026-08-16_sector-macro-vision2030.pdf,Saudi Macroeconomic Review and Vision 2030 Progress,Meridian Gulf Research,2026-08-16,en,sector_note,internal,2222;1180;1211,true
2026-08-15_sector-mining-utilities.pdf,قطاعا التعدين والمرافق: الركيزة الثالثة وتحول الطاقة,Meridian Gulf Research,2026-08-15,ar,sector_note,internal,1211;5110,true
